## Hebr  azbyka.ru/biblia/?Hebr.X&utfcs
# Heb 1
1:1	[Заⷱ҇ 303] Многоча́стнѣ и҆ многоѡбра́знѣ дре́вле бг҃ъ гл҃авый ѻ҆тцє́мъ во прⷪ҇ро́цѣхъ,
7:27	и҆́же не и҆́мать по всѧ̑ дни̑ нꙋ́жды, ꙗ҆́коже первосвѧще́нницы, пре́жде ѡ҆ свои́хъ грѣсѣ́хъ жє́ртвы приноси́ти, пото́мъ же ѡ҆ людски́хъ: сїе́ бо сотворѝ є҆ди́ною, себѐ прине́съ.
7:28	Зако́нъ бо человѣ́ки поставлѧ́етъ первосвѧще́нники, и҆мꙋ́щыѧ не́мощь: сло́во же клѧ́твенное, є҆́же по зако́нѣ, сн҃а во вѣ́ки соверше́нна.

# Heb 8
8:1	Глава́ же ѡ҆ глаго́лемыхъ: такова̀ и҆́мамы первосщ҃е́нника, и҆́же сѣ́де ѡ҆деснꙋ́ю прⷭ҇то́ла вели́чествїѧ на нб҃сѣ́хъ,
8:2	ст҃ы̑мъ слꙋжи́тель и҆ ски́нїи и҆́стиннѣй, ю҆́же водрꙋзѝ гдⷭ҇ь, а҆ не человѣ́къ.
8:3	Всѧ́къ бо первосвѧще́нникъ, во є҆́же приноси́ти да́ры же и҆ жє́ртвы, поставлѧ́емь быва́етъ: тѣ́мже потре́ба и҆мѣ́ти что̀ и҆ семꙋ̀, є҆́же принесе́тъ.
8:4	А҆́ще бы бо бы́лъ на землѝ, не бы̀ бы́лъ сщ҃е́нникъ, сꙋ́щымъ свѧще́нникѡмъ приносѧ́щымъ по зако́нꙋ да́ры,
8:5	и҆̀же ѡ҆́бразꙋ и҆ стѣ́ни слꙋ́жатъ нбⷭ҇ныхъ, ꙗ҆́коже гл҃ано бы́сть мѡѷсе́ю, хотѧ́щꙋ сотвори́ти ски́нїю: ви́ждь бо, речѐ, сотвори́ши всѧ̑ по ѡ҆́бразꙋ пока́занномꙋ тѝ на горѣ̀.
8:6	Нн҃ѣ же лꙋ́чшее ᲂу҆лꙋчѝ слꙋже́нїе, по є҆ли́кꙋ и҆ лꙋ́чшагѡ завѣ́та є҆́сть хода́тай, и҆́же на лꙋ́чшихъ ѡ҆бѣтова́нїихъ ᲂу҆зако́нисѧ.
8:7	[Заⷱ҇ 319] А҆́ще бо бы пе́рвый ѡ҆́нъ непоро́ченъ бы́лъ, не бы̀ второ́мꙋ и҆ска́лосѧ мѣ́сто.
8:8	Оу҆корѧ́ѧ бо и҆̀хъ глаго́летъ: сѐ, дні́е грѧдꙋ́тъ, гл҃етъ гдⷭ҇ь, и҆ совершꙋ̀ на до́мъ і҆и҃левъ и҆ на до́мъ і҆ꙋ́довъ завѣ́тъ но́въ,
8:9	не по завѣ́тꙋ, є҆го́же сотвори́хъ ѻ҆тцє́мъ и҆́хъ въ де́нь, во́ньже є҆́мшꙋ мѝ и҆̀хъ за рꙋ́кꙋ, и҆звестѝ и҆̀хъ ѿ землѝ є҆гѵ́петскїѧ: занѐ ті́и не пребы́ша въ завѣ́тѣ мое́мъ, и҆ а҆́зъ неради́хъ ѡ҆ ни́хъ, гл҃етъ гдⷭ҇ь.
8:10	Ꙗ҆́кѡ се́й завѣ́тъ, є҆го́же завѣща́ю до́мꙋ і҆и҃левꙋ по ѻ҆́нѣхъ дне́хъ, гл҃етъ гдⷭ҇ь, даѧ̀ зако́ны моѧ̑ въ мы̑сли и҆́хъ, и҆ на сердца́хъ и҆́хъ напишꙋ̀ и҆̀хъ, и҆ бꙋ́дꙋ и҆̀мъ бг҃ъ, и҆ ті́и бꙋ́дꙋтъ мнѣ̀ лю́дїе.
8:11	И҆ не и҆́мать наꙋчи́ти кі́йждо и҆́скреннѧго своего̀ и҆ кі́йждо бра́та своего̀, глаго́лѧ: позна́й гдⷭ҇а: ꙗ҆́кѡ всѝ ᲂу҆вѣ́дѧтъ мѧ̀ ѿ ма́ла да́же и҆ до вели́ка и҆́хъ,
8:12	занѐ млⷭ҇тивъ бꙋ́дꙋ непра́вдамъ и҆́хъ и҆ грѣхѡ́въ и҆́хъ и҆ беззако́нїй и҆́хъ не и҆́мамъ помѧнꙋ́ти ктомꙋ̀.
8:13	Внегда́ же гл҃етъ но́въ, ѡ҆бветшѝ пе́рваго: а҆ ѡ҆бветшава́ющее и҆ состарѣва́ющеесѧ бли́з̾ є҆́сть и҆стлѣ́нїѧ.

# Heb 9
9:1	[Заⷱ҇ 320] И҆мѣ́ѧше ᲂу҆́бѡ пе́рваѧ ски́нїѧ {пе́рвый (завѣ́тъ)} ѡ҆правда̑нїѧ слꙋ́жбы, ст҃о́е же людско́е:
9:2	ски́нїѧ бо соѡрꙋжена̀ бы́сть пе́рваѧ, въ не́йже свѣти́льникъ и҆ трапе́за и҆ предложе́нїе хлѣ́бѡвъ, ꙗ҆́же глаго́летсѧ ст҃а̑ѧ.
9:3	По вторѣ́й же завѣ́сѣ ски́нїѧ глаго́лемаѧ ст҃а̑ѧ ст҃ы́хъ,
9:4	зла́тꙋ и҆мꙋ́щи кади́льницꙋ и҆ ковче́гъ завѣ́та ѡ҆кова́нъ всю́дꙋ зла́томъ, въ не́мже ста́мна злата̀ и҆мꙋ́щаѧ ма́ннꙋ, и҆ же́злъ а҆арѡ́новъ прозѧ́бшїй, и҆ скрижа̑ли завѣ́та:
9:5	превы́шше же є҆гѡ̀ херꙋві́ми сла́вы, ѡ҆сѣнѧ́ющїи ѻ҆лта́рь {ѡ҆чисти́лище}: ѡ҆ ни́хже не лѣ́ть нн҃ѣ глаго́лати подро́бнꙋ.
9:6	Си̑мъ же та́кѡ ᲂу҆стро́єнымъ, въ пе́рвꙋю ᲂу҆́бѡ ски́нїю вы́нꙋ вхожда́хꙋ свѧще́нницы, слꙋ̑жбы соверша́юще:
9:7	во вторꙋ́ю же є҆ди́ною въ лѣ́то є҆ди́нъ а҆рхїере́й, не без̾ кро́ве, ю҆́же прино́ситъ за себѐ и҆ ѡ҆ людски́хъ невѣ́жествїихъ.
9:8	[Заⷱ҇ 321] Сїѐ ꙗ҆влѧ́ющꙋ дх҃ꙋ ст҃о́мꙋ, ꙗ҆́кѡ не ᲂу҆̀ ꙗ҆ви́сѧ ст҃ы́хъ пꙋ́ть, є҆щѐ пе́рвѣй ски́нїи и҆мꙋ́щей стоѧ́нїе.
9:9	Ꙗ҆́же при́тча во вре́мѧ настоѧ́щее ᲂу҆тверди́сѧ, въ не́же да́рове и҆ жє́ртвы прино́сѧтсѧ, не могꙋ́щыѧ по со́вѣсти соверши́ти слꙋжа́щаго,
9:10	то́чїю въ бра́шнахъ и҆ питїѧ́хъ, и҆ разли́чныхъ ѡ҆мове́нїихъ, и҆ ѡ҆правда́нїихъ пло́ти, да́же до вре́мене и҆справле́нїѧ належа̑щаѧ.
9:11	Хрⷭ҇то́съ же прише́дъ а҆рхїере́й грѧдꙋ́щихъ бла̑гъ, бо́льшею и҆ соверше́ннѣйшею ски́нїею, нерꙋкотворе́нною, си́рѣчь, не сеѧ̀ тва́ри,
9:12	ни кро́вїю ко́злею нижѐ те́лчею, но свое́ю кро́вїю, вни́де є҆ди́ною во ст҃а̑ѧ, вѣ́чное и҆скꙋпле́нїе ѡ҆брѣты́й.
9:13	А҆́ще бо кро́вь ко́злѧѧ и҆ те́лчаѧ и҆ пе́пелъ ю҆́нчїй кропѧ́щїй ѡ҆сквернє́ныѧ ѡ҆свѧща́етъ къ пло́тстѣй чистотѣ̀:
9:14	кольмѝ па́че кро́вь хрⷭ҇то́ва, и҆́же дх҃омъ ст҃ы́мъ себѐ принесѐ непоро́чна бг҃ꙋ, ѡ҆чⷭ҇титъ со́вѣсть на́шꙋ ѿ ме́ртвыхъ дѣ́лъ, во є҆́же слꙋжи́ти на́мъ бг҃ꙋ жи́вꙋ и҆ и҆́стиннꙋ;
9:15	И҆ сегѡ̀ ра́ди но́вомꙋ завѣ́тꙋ хода́тай є҆́сть, да сме́рти бы́вшей, во и҆скꙋпле́нїе престꙋпле́нїй бы́вшихъ въ пе́рвѣмъ завѣ́тѣ, ѡ҆бѣтова́нїе вѣ́чнагѡ наслѣ́дїѧ прїи́мꙋтъ зва́ннїи.
9:16	И҆дѣ́же бо завѣ́тъ, сме́рти нꙋ́жно є҆́сть вноси́тисѧ завѣща́ющагѡ,
9:17	завѣ́тъ бо въ ме́ртвыхъ и҆звѣ́стенъ є҆́сть: поне́же ничесѡ́же мо́жетъ, є҆гда̀ жи́въ є҆́сть завѣщава́ѧй.
9:18	Тѣ́мже ни пе́рвый без̾ кро́ве ѡ҆бновле́нъ {ᲂу҆твержде́нъ} бы́сть.
9:19	Рече́ннѣй бо бы́вшей всѧ́цѣй за́повѣди по зако́нꙋ ѿ мѡѷсе́а всѣ̑мъ лю́демъ, прїе́мь кро́вь ко́злюю и҆ те́лчꙋю, съ водо́ю и҆ во́лною червле́ною и҆ ѵ҆ссѡ́помъ, самы̑ѧ же ты̑ѧ кни̑ги и҆ всѧ̑ лю́ди покропѝ,
9:20	глаго́лѧ: сїѧ̀ кро́вь завѣ́та, є҆го́же завѣща̀ къ ва́мъ бг҃ъ.
9:21	И҆ ски́нїю же и҆ всѧ̑ сосꙋ́ды слꙋжє́бныѧ кро́вїю та́кожде покропѝ.
9:22	И҆ ѿню́дъ кро́вїю всѧ̑ {и҆ є҆два̀ не всѧ̑ кро́вїю} ѡ҆чища́ютсѧ по зако́нꙋ, и҆ без̾ кровопроли́тїѧ не быва́етъ ѡ҆ставле́нїе.
9:23	Нꙋ́жда ᲂу҆̀бо бѧ́ше ѡ҆бразѡ́мъ нбⷭ҇ныхъ си́ми ѡ҆чища́тисѧ: самѣ̑мъ же нбⷭ҇нымъ лꙋ́чшими же́ртвами, па́че си́хъ.
9:24	[Заⷱ҇ 322] Не въ рꙋкотворє́ннаѧ бо ст҃а̑ѧ вни́де хрⷭ҇то́съ, противоѡбра̑знаѧ и҆́стинныхъ, но въ са́мое нб҃о, нн҃ѣ да ꙗ҆ви́тсѧ лицꙋ̀ бж҃їю ѡ҆ на́съ,
9:25	нижѐ да мно́гажды прино́ситъ себѐ, ꙗ҆́коже первосвѧще́нникъ вхо́дитъ во ст҃а̑ѧ (ст҃ы́хъ) по всѧ̑ лѣ̑та съ кро́вїю чꙋжде́ю:
9:26	поне́же подоба́ше бы є҆мꙋ̀ мно́жицею страда́ти ѿ сложе́нїѧ мі́ра: нн҃ѣ же є҆ди́ною въ кончи́нꙋ вѣкѡ́въ, во ѿмета́нїе грѣха̀, же́ртвою свое́ю ꙗ҆ви́сѧ.
9:27	И҆ ꙗ҆́коже лежи́тъ {ѡ҆предѣле́но є҆́сть} человѣ́кѡмъ є҆ди́ною ᲂу҆мре́ти, пото́мъ же сꙋ́дъ,
9:28	та́кѡ и҆ хрⷭ҇то́съ є҆ди́ною принесе́сѧ, во є҆́же вознестѝ мно́гихъ грѣхѝ, второ́е без̾ грѣха̀ ꙗ҆ви́тсѧ, ждꙋ́щымъ є҆гѡ̀ во спⷭ҇нїе.

# Heb 10
10:1	[Заⷱ҇ 323] Сѣ́нь бо и҆мы́й зако́нъ грѧдꙋ́щихъ бла̑гъ, (а҆) не са́мый ѡ҆́бразъ веще́й, на всѧ́кое лѣ́то тѣ́миже же́ртвами, и҆̀хже прино́сѧтъ вы́нꙋ, никогда́же мо́жетъ пристꙋпа́ющихъ соверши́ти.
10:2	Поне́же преста́ли бы бы́ти приноси̑мы, ни є҆ди́нꙋ ктомꙋ̀ и҆мꙋ́щымъ со́вѣсть ѡ҆ грѣсѣ́хъ слꙋжа́щымъ, є҆ди́ною ѡ҆чищє́ннымъ.
10:3	Но въ ни́хъ воспомина́нїе грѣхѡ́въ на ко́еждо лѣ́то быва́етъ,
10:4	невозмо́жно бо кро́ви ю҆́нчей и҆ ко́злей ѿпꙋща́ти грѣхѝ.
10:5	Тѣ́мже входѧ̀ въ мі́ръ, гл҃етъ: же́ртвы и҆ приноше́нїѧ не восхотѣ́лъ є҆сѝ, тѣ́ло же соверши́лъ мѝ є҆сѝ:
10:6	всесожже́нїй и҆ {та́кожде} ѡ҆ грѣсѣ̀ не бл҃говоли́лъ є҆сѝ.
10:7	Тогда̀ рѣ́хъ: сѐ, и҆дꙋ̀: въ глави́знѣ кни́жнѣй написа́сѧ ѡ҆ мнѣ̀, є҆́же сотвори́ти во́лю твою̀, бж҃е.
10:8	Вы́ше гл҃ѧ: ꙗ҆́кѡ же́ртвы и҆ приноше́нїѧ и҆ всесожже́нїй и҆ {та́кожде} ѡ҆ грѣсѣ́хъ не восхотѣ́лъ є҆сѝ, нижѐ бл҃говоли́лъ є҆сѝ: ꙗ҆̀же по зако́нꙋ прино́сѧтсѧ:
10:9	тогда̀ речѐ: сѐ, и҆дꙋ̀ сотвори́ти во́лю твою̀, бж҃е. Ѿе́млетъ пе́рвое, да второ́е поста́витъ.
10:10	Ѡ҆ не́йже во́ли ѡ҆сщ҃е́ни є҆смы̀ принесе́нїемъ тѣ́ла і҆и҃съ хрⷭ҇то́ва є҆ди́ною.
10:11	И҆ всѧ́къ ᲂу҆́бѡ свѧще́нникъ стои́тъ на всѧ́къ де́нь слꙋжѧ̀ и҆ ты̑ѧжде мно́жицею приносѧ̀ жє́ртвы, ꙗ҆̀же никогда́же мо́гꙋтъ ѿѧ́ти грѣхѡ́въ.
10:12	Ѻ҆́нъ же є҆ди́нꙋ ѡ҆ грѣсѣ́хъ прине́съ же́ртвꙋ, всегда̀ сѣди́тъ ѡ҆деснꙋ́ю бг҃а,
10:13	про́чее ѡ҆жида́ѧ, до́ндеже положа́тсѧ вразѝ є҆гѡ̀ подно́жїе но́гъ є҆гѡ̀:
10:14	є҆ди́нѣмъ бо приноше́нїемъ соверши́лъ є҆́сть во вѣ́ки ѡ҆сщ҃а́емыхъ.
10:15	Свидѣ́тельствꙋетъ же на́мъ и҆ дх҃ъ ст҃ы́й, по рече́нномꙋ бо пре́жде:
10:16	се́й завѣ́тъ, є҆го́же завѣща́ю къ ни̑мъ по дне́хъ ѻ҆́нѣхъ, гл҃етъ гдⷭ҇ь, даѧ̀ зако́ны моѧ̑ на сердца̀ и҆́хъ, и҆ въ помышле́нїихъ и҆́хъ напишꙋ̀ и҆̀хъ:
10:17	(та́же гл҃етъ гдⷭ҇ь:) и҆ грѣхѡ́въ и҆́хъ и҆ беззако́нїй и҆́хъ не и҆́мамъ помѧнꙋ́ти ктомꙋ̀.
10:18	А҆ и҆дѣ́же ѿпꙋще́нїе си́хъ, ктомꙋ̀ нѣ́сть приноше́нїѧ ѡ҆ грѣсѣ́хъ.
10:19	[Заⷱ҇ 324] И҆мꙋ́ще ᲂу҆̀бо дерзнове́нїе, бра́тїе, входи́ти во ст҃а̑ѧ кро́вїю і҆и҃съ хрⷭ҇то́вою, пꙋте́мъ но́вымъ и҆ живы́мъ,
10:20	є҆го́же ѡ҆бнови́лъ є҆́сть на́мъ завѣ́сою, си́рѣчь пл҃тїю свое́ю,
10:21	и҆ і҆ере́а вели́ка над̾ до́момъ бж҃їимъ,
10:22	да пристꙋпа́емъ со и҆́стиннымъ се́рдцемъ во и҆звѣще́нїи вѣ́ры, ѡ҆кропле́ни сердцы̀ ѿ со́вѣсти лꙋка́выѧ и҆ и҆змове́ни тѣлесы̀ водо́ю чи́стою:
10:23	да держи́мъ и҆сповѣ́данїе ᲂу҆пова́нїѧ неꙋкло́нное, вѣ́ренъ бо є҆́сть ѡ҆бѣща́вый:
10:24	и҆ да разꙋмѣва́емъ дрꙋ́гъ дрꙋ́га въ поѡщре́нїи любвѐ и҆ до́брыхъ дѣ́лъ,
10:25	не ѡ҆ставлѧ́юще собра́нїѧ своегѡ̀, ꙗ҆́коже є҆́сть нѣ̑кимъ ѡ҆бы́чай, но (дрꙋ́гъ дрꙋ́га) подвиза́юще, и҆ толи́кѡ па́че, є҆ли́кѡ ви́дите приближа́ющїйсѧ де́нь (сꙋ́дный).
10:26	Во́лею бо согрѣша́ющымъ на́мъ по прїѧ́тїи ра́зꙋма и҆́стины, ктомꙋ̀ ѡ҆ грѣсѣ́хъ не ѡ҆брѣта́етсѧ же́ртва,
10:27	стра́шно же нѣ́кое ча́ѧнїе сꙋда̀ и҆ ѻ҆гнѧ̀ ре́вность, поѧ́сти хотѧ́щагѡ сопроти̑вныѧ.
10:28	Ѿве́рглсѧ кто̀ зако́на мѡѷсе́ова, без̾ милосе́рдїѧ при двои́хъ и҆лѝ трїе́хъ свидѣ́телехъ ᲂу҆мира́етъ:
10:29	коли́кѡ мнитѐ го́ршїѧ сподо́битсѧ мꙋ́ки, и҆́же сн҃а бж҃їѧ попра́вый, и҆ кро́вь завѣ́тнꙋю скве́рнꙋ возмни́въ, є҆́юже ѡ҆ст҃и́сѧ, и҆ дх҃а блгⷣти ᲂу҆кори́вый;
10:30	Вѣ́мы бо ре́кшаго: мнѣ̀ ѿмще́нїе, а҆́зъ возда́мъ, гл҃етъ гдⷭ҇ь. И҆ па́ки: ꙗ҆́кѡ сꙋ́дитъ гдⷭ҇ь лю́демъ свои̑мъ.
10:31	Стра́шно (є҆́сть) є҆́же впа́сти въ рꙋ́цѣ бг҃а жива́гѡ.
10:32	[Заⷱ҇ 325] Воспомина́йте же пє́рвыѧ дни̑ ва́шѧ, въ ни́хже просвѣти́вшесѧ, мнѡ́гїѧ стра̑сти претерпѣ́сте {мно́гъ по́двигъ под̾ѧ́сте} страда́нїй,
10:33	ѻ҆́во ᲂу҆́бѡ, поноше́ньми и҆ скорбьмѝ позо́ръ бы́вше, ѻ҆́во же, ѡ҆́бщницы бы́вше живꙋ́щымъ та́кѡ:
10:34	и҆́бо ᲂу҆́замъ мои̑мъ спострада́сте и҆ разграбле́нїе и҆мѣ́нїй ва́шихъ съ ра́достїю прїѧ́сте, вѣ́дѧще и҆мѣ́ти себѣ̀ и҆мѣ́нїе на нб҃сѣ́хъ пребыва́ющее и҆ лꙋ́чшее.
10:35	[Заⷱ҇ 326] Не ѿлага́йте ᲂу҆̀бо дерзнове́нїѧ ва́шегѡ, є҆́же и҆́мать мздовоздаѧ́нїе вели́ко.
10:36	Терпѣ́нїѧ бо и҆́мате потре́бꙋ, да во́лю бж҃їю сотво́рше, прїи́мете ѡ҆бѣтова́нїе:
10:37	є҆ще́ бо ма́ло є҆ли́кѡ є҆ли́кѡ, грѧды́й прїи́детъ и҆ не ᲂу҆косни́тъ.
10:38	А҆ првⷣный ѿ вѣ́ры жи́въ бꙋ́детъ: и҆ а҆́ще ѡ҆бине́тсѧ, не бл҃говоли́тъ дш҃а̀ моѧ̀ ѡ҆ не́мъ.
10:39	Мы́ же (бра́тїе) нѣ́смы ѡ҆бинове́нїѧ въ поги́бель, но вѣ́ры въ снабдѣ́нїе дꙋшѝ.

# Heb 11
11:1	Є҆́сть же вѣ́ра ᲂу҆пова́емыхъ и҆звѣще́нїе, веще́й ѡ҆бличе́нїе неви́димыхъ.
11:2	Въ се́й бо свидѣ́тельствовани бы́ша дре́внїи.
11:3	Вѣ́рою разꙋмѣва́емъ соверши́тисѧ вѣкѡ́мъ гл҃го́ломъ бж҃їимъ, во є҆́же ѿ неѧвлѧ́емыхъ ви̑димымъ бы́ти.
11:4	Вѣ́рою мно́жайшꙋю же́ртвꙋ а҆́вель па́че ка́їна принесѐ бг҃ꙋ, є҆́юже свидѣ́тельствованъ бы́сть бы́ти првⷣникъ, свидѣ́тельствꙋющꙋ ѡ҆ да́рѣхъ є҆гѡ̀ бг҃ꙋ: и҆ то́ю ᲂу҆ме́рый є҆щѐ глаго́летъ.
11:5	Вѣ́рою є҆нѡ́хъ преложе́нъ бы́сть не ви́дѣти сме́рти: и҆ не ѡ҆брѣта́шесѧ, занѐ преложѝ є҆го̀ бг҃ъ: пре́жде бо преложе́нїѧ є҆гѡ̀ свидѣ́тельствованъ бы́сть, ꙗ҆́кѡ ᲂу҆годѝ бг҃ꙋ.
11:6	Без̾ вѣ́ры же невозмо́жно ᲂу҆годи́ти (бг҃ꙋ): вѣ́ровати же подоба́етъ приходѧ́щемꙋ къ бг҃ꙋ, ꙗ҆́кѡ є҆́сть, и҆ взыска́ющымъ є҆го̀ мздовозда́тель быва́етъ.
11:7	Вѣ́рою ѿвѣ́тъ прїи́мъ нѡ́е ѡ҆ си́хъ, ꙗ҆́же не ᲂу҆̀ ви́дѣ, ᲂу҆боѧ́всѧ сотворѝ ковче́гъ во спасе́нїе до́мꙋ своегѡ̀: є҆́юже ѡ҆сꙋдѝ (ве́сь) мі́ръ, и҆ пра́вды, ꙗ҆́же по вѣ́рѣ, бы́сть наслѣ́дникъ.
11:8	[Заⷱ҇ 327] Вѣ́рою зово́мъ а҆враа́мъ послꙋ́ша и҆зы́ти на мѣ́сто, є҆́же хотѧ́ше прїѧ́ти въ наслѣ́дїе, и҆ и҆зы́де не вѣ́дый, ка́мѡ грѧде́тъ.
11:9	[Заⷱ҇ 328] Вѣ́рою прїи́де а҆враа́мъ на зе́млю ѡ҆бѣтова́нїѧ, ꙗ҆́коже на чꙋ́ждꙋ, въ кро́вы всели́сѧ со і҆саа́комъ и҆ і҆а́кѡвомъ снаслѣ́дникома ѡ҆бѣтова́нїѧ тогѡ́жде:
11:10	жда́ше бо ѡ҆снова̑нїѧ и҆мꙋ́щагѡ гра́да, є҆мꙋ́же хꙋдо́жникъ и҆ содѣ́тель бг҃ъ.
11:11	Вѣ́рою и҆ сама̀ са́рра непло́ды си́лꙋ во ᲂу҆держа́нїе сѣ́мене прїѧ́тъ и҆ па́че вре́мене во́зраста родѝ, поне́же вѣ́рна непщева̀ ѡ҆бѣтова́вшаго.
11:12	Тѣ́мже и҆ ѿ є҆ди́нагѡ роди́шасѧ, да є҆щѐ ᲂу҆мерщвле́ннагѡ, ꙗ҆́коже ѕвѣ́зды небє́сныѧ мно́жествомъ и҆ ꙗ҆́кѡ песо́къ вскра́й мо́рѧ безчи́сленный.
11:13	По вѣ́рѣ ᲂу҆мро́ша сі́и всѝ, не прїе́мше ѡ҆бѣтова́нїй, но и҆здале́ча ви́дѣвше ѧ҆̀, и҆ цѣлова́вше, и҆ и҆сповѣ́давше, ꙗ҆́кѡ стра́ннїи и҆ прише́льцы сꙋ́ть на землѝ:
11:14	и҆́бо такѡва́ѧ глаго́лющїи ꙗ҆влѧ́ютсѧ, ꙗ҆́кѡ ѻ҆те́чествїѧ взыскꙋ́ютъ.
11:15	И҆ а҆́ще бы ᲂу҆́бѡ ѻ҆́но по́мнили, и҆з̾ негѡ́же и҆зыдо́ша, и҆мѣ́ли бы вре́мѧ возврати́тисѧ:
11:16	нн҃ѣ же лꙋ́чшагѡ жела́ютъ, си́рѣчь нбⷭ҇нагѡ: тѣ́мже не стыди́тсѧ си́ми бг҃ъ, бг҃ъ нарица́тисѧ и҆́хъ: ᲂу҆гото́ва бо и҆̀мъ гра́дъ.
11:17	[Заⷱ҇ 329] Вѣ́рою приведѐ а҆враа́мъ і҆саа́ка и҆скꙋша́емь, и҆ є҆диноро́днаго приноша́ше, ѡ҆бѣтова̑нїѧ прїе́мый,
11:18	къ немꙋ́же гл҃ано бы́сть: ꙗ҆́кѡ ѡ҆ і҆саа́цѣ нарече́тсѧ тебѣ̀ сѣ́мѧ:
11:19	помы́сливъ, ꙗ҆́кѡ и҆ и҆з̾ ме́ртвыхъ воскр҃си́ти си́ленъ (є҆́сть) бг҃ъ, тѣ́мже того̀ и҆ въ при́тчѣ прїѧ́тъ.
11:20	Вѣ́рою ѡ҆ грѧдꙋ́щихъ благословѝ і҆саа́къ і҆а́кѡва и҆ и҆са́ѵа.
11:21	Вѣ́рою і҆а́кѡвъ ᲂу҆мира́ѧ коего́ждо сы́на і҆ѡ́сифова благословѝ и҆ поклони́сѧ на ве́рхъ жезла̀ є҆гѡ̀.
11:22	Вѣ́рою і҆ѡ́сифъ ᲂу҆мира́ѧ ѡ҆ и҆схожде́нїи сынѡ́въ і҆и҃левыхъ па́мѧтствова и҆ ѡ҆ косте́хъ свои́хъ заповѣ́да.
11:23	Вѣ́рою мѡѷсе́й роди́всѧ сокрове́нъ бы́сть трѝ мцⷭ҇ы ѿ ѻ҆тє́цъ свои́хъ, занѐ ви́дѣша красно̀ ѻ҆троча̀ и҆ не ᲂу҆боѧ́шасѧ повелѣ́нїѧ царе́ва.
11:24	Вѣ́рою мѡѷсе́й, вели́къ бы́въ, ѿве́ржесѧ нарица́тисѧ сы́нъ дще́ре фараѡ́новы:
11:25	па́че (же) и҆зво́ли страда́ти съ людьмѝ бж҃їими, не́жели и҆мѣ́ти вре́меннꙋю грѣха̀ сла́дость,
11:26	бо́льшее бога́тство вмѣни́въ є҆гѵ́петскихъ сокро́вищъ поноше́нїе хрⷭ҇то́во: взира́ше бо на мздовоздаѧ́нїе.
11:27	Вѣ́рою ѡ҆ста́ви є҆гѵ́петъ, не ᲂу҆боѧ́всѧ ꙗ҆́рости царе́вы: неви́димаго бо ꙗ҆́кѡ ви́дѧ, терпѧ́ше.
11:28	Вѣ́рою сотворѝ па́схꙋ и҆ проли́тїе кро́ве, да не погꙋблѧ́ѧй перворождє́ннаѧ ко́снетсѧ и҆́хъ.
11:29	Вѣ́рою преидо́ша чермно́е мо́ре а҆́ки по сꙋ́сѣ землѝ: є҆гѡ́же и҆скꙋше́нїе прїе́мше є҆гѵ́птѧне и҆стопи́шасѧ.
11:30	Вѣ́рою стѣ́ны і҆ерїхѡ̑нскїѧ падо́ша ѡ҆бхожде́нїемъ седми́хъ дні́й.
11:31	Вѣ́рою раа́въ блꙋдни́ца не поги́бе съ сопроти́вльшимисѧ, прїи́мши схо́дники {соглѧда́тєли} съ ми́ромъ (и҆ и҆ны́мъ пꙋте́мъ и҆зве́дши).
11:32	И҆ что̀ є҆щѐ глаго́лю; Не доста́нетъ бо мѝ повѣствꙋ́ющꙋ вре́мене ѡ҆ гедеѡ́нѣ, вара́цѣ же и҆ самѱѡ́нѣ и҆ і҆ефѳа́и, ѡ҆ дв҃дѣ же и҆ самꙋи́лѣ, и҆ ѡ҆ (дрꙋги́хъ) прⷪ҇ро́цѣхъ,
11:33	[Заⷱ҇ 330] и҆̀же вѣ́рою побѣди́ша ца̑рствїѧ, содѣ́ѧша пра́вдꙋ, полꙋчи́ша ѡ҆бѣтова̑нїѧ, загради́ша ᲂу҆ста̀ львѡ́въ,
11:34	ᲂу҆гаси́ша си́лꙋ ѻ҆́гненнꙋю, и҆збѣго́ша ѻ҆́стреѧ меча̀, возмого́ша ѿ не́мощи, бы́ша крѣ́пцы во бране́хъ, ѡ҆брати́ша въ бѣ́гство полкѝ чꙋжди́хъ:
11:35	прїѧ́ша жєны̀ ѿ воскресе́нїѧ ме́ртвыхъ свои́хъ: и҆ні́и же и҆збїе́ни бы́ша, не прїе́мше и҆збавле́нїѧ, да лꙋ́чшее воскрⷭ҇нїе ᲂу҆лꙋча́тъ:
11:36	дрꙋзі́и же рꙋга́нїемъ и҆ ра́нами и҆скꙋше́нїе прїѧ́ша, є҆ще́ же и҆ ᲂу҆́зами и҆ темни́цею,
11:37	ка́менїемъ побїе́ни бы́ша, претре́ни бы́ша, и҆скꙋше́ни бы́ша, ᲂу҆бі́йствомъ меча̀ ᲂу҆мро́ша, проидо́ша въ ми́лѡтехъ (и҆) въ ко́зїѧхъ ко́жахъ, лише́ни, скорбѧ́ще, ѡ҆ѕло́блени:
11:38	и҆́хже не бѣ̀ досто́инъ (ве́сь) мі́ръ, въ пꙋсты́нехъ скита́ющесѧ и҆ въ гора́хъ и҆ въ верте́пахъ и҆ въ про́пастехъ земны́хъ.
11:39	И҆ сі́и всѝ послꙋ́шествани бы́вше вѣ́рою, не прїѧ́ша ѡ҆бѣтова́нїѧ,
